Country Name,Aruba,Afghanistan,Angola,Albania,Arab World,United Arab Emirates,Argentina,Armenia,Antigua and Barbuda
Country Code,ABW,AFG,AGO,ALB,ARB,ARE,ARG,ARM,ATG
1960,65.5693658537,31.5800487805,32.9848292683,62.2543658537,46.7626948488,52.2432195122,65.2155365854,65.8634634146,61.7827317073
1961,65.9880243902,32.0959756098,33.3862195122,63.2734634146,47.3886012552,53.2865609756,65.3385121951,66.2843902439,62.1954146341
1962,66.3655365854,32.6118780488,33.7875853659,64.1628536585,48.0024362501,54.327,65.4326097561,66.7098536585,62.5985365854
1963,66.7139756098,33.1273170732,34.1884634146,64.887097561,48.6075914026,55.3635121951,65.5093902439,67.1378536585,62.9925853659
1964,67.0442926829,33.6412439024,34.5903414634,65.438195122,49.2051183979,56.3925853659,65.5824146341,67.5654146341,63.3785853659
1965,67.3697560976,34.1536829268,34.9922195122,65.8273902439,49.7914045679,57.4057073171,65.6686829268,67.9915365854,63.7560731707
1966,67.699,34.6631219512,35.395097561,66.0893170732,50.3589541649,58.3918536585,65.7822439024,68.4147317073,64.1255609756
1967,68.0346829268,35.1700731707,35.7999756098,66.2872195122,50.9054131477,59.3404634146,65.9300243902,68.8304878049,64.4880731707
1968,68.3771463415,35.6720243902,36.2058536585,66.4749512195,51.4334853056,60.2440487805,66.1134878049,69.2292682927,64.8421219512
1969,68.7284146341,36.1699756098,36.6102439024,66.6816097561,51.9513289996,61.0985853659,66.335097561,69.6000487805,65.189195122
1970,69.0861463415,36.6594390244,37.0151219512,66.9325853659,52.47099594,61.9010487805,66.5908292683,69.9242682927,65.5293414634
1971,69.446097561,37.1394146341,37.4210243902,67.2388780488,53.0083619442,62.6549512195,66.8731219512,70.1828780488,65.8620243902
1972,69.7986585366,37.6088780488,37.8269268293,67.5859512195,53.5723436248,63.3663170732,67.1679512195,70.3673414634,66.1882682927
1973,70.1396585366,38.0693414634,38.2268292683,67.9579512195,54.1636761327,64.0431219512,67.4653170732,70.4796585366,66.508
